unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,status,borough,incident_zip,location_type,latitude,longitude,hours_to_close,hour,day_of_week,month,season
59924790,2024-01-04 10:00:38,2024-01-06 17:46:26,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,Closed,MANHATTAN,10034,RESIDENTIAL BUILDING,40.86739505807879,-73.92476442058863,55.763333333333335,10,Thursday,1,Winter
59925850,2024-01-04 21:09:46,2024-01-04 22:23:32,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Closed,STATEN ISLAND,10312,Street/Sidewalk,40.55087349339605,-74.19193896680682,1.2294444444444443,21,Thursday,1,Winter
59932868,2024-01-05 00:20:44,2024-01-06 17:04:22,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,Closed,BROOKLYN,11220,RESIDENTIAL BUILDING,40.64183181347104,-74.0003783473509,40.727222222222224,0,Friday,1,Winter
59921495,2024-01-03 14:55:27,2024-01-03 16:28:37,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Closed,BROOKLYN,11201,Street/Sidewalk,40.69202411819301,-73.98178959583599,1.5527777777777778,14,Wednesday,1,Winter
59928457,2024-01-05 00:06:21,2024-01-05 00:34:52,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,BROOKLYN,11201,Street/Sidewalk,40.69184440416121,-74.00010096830466,0.4752777777777778,0,Friday,1,Winter
59923435,2024-01-04 10:54:09,2024-01-29 19:43:48,HPD,Department of Housing Preservation and Development,GENERAL,JANITOR/SUPER,Closed,BROOKLYN,11219,RESIDENTIAL BUILDING,40.634294474339534,-74.0059880216727,608.8275,10,Thursday,1,Winter
59927378,2024-01-04 04:39:54,2024-01-04 05:01:02,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Closed,BRONX,10460,Residential Building/House,40.839720738021455,-73.8723164061865,0.3522222222222222,4,Thursday,1,Winter
59936418,2024-01-05 05:33:55,2024-01-05 09:35:07,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Closed,BROOKLYN,11229,Street/Sidewalk,40.60599980617937,-73.95267073833053,4.02,5,Friday,1,Winter
59915755,2024-01-03 13:00:07,2024-01-07 20:46:15,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,Closed,MANHATTAN,10034,RESIDENTIAL BUILDING,40.862551807019045,-73.91836725935097,103.7688888888889,13,Wednesday,1,Winter
59930738,2024-01-04 08:19:50,2024-01-09 15:51:40,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Closed,QUEENS,11358,Sidewalk,40.75781549249408,-73.79774048451219,127.53055555555555,8,Thursday,1,Winter
59910828,2024-01-02 15:22:30,2024-01-02 15:22:30,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Closed,BROOKLYN,11216,3+ Family Apt. Building,40.68424342468576,-73.94813344316799,0.0,15,Tuesday,1,Winter
59932173,2024-01-04 09:04:39,2024-01-04 13:35:42,DSNY,Department of Sanitation,Dead Animal,Cat,Closed,BROOKLYN,11204,Sidewalk,40.61546129415913,-73.98252005379082,4.5175,9,Thursday,1,Winter
59899087,2024-01-01 10:54:45,2024-01-01 13:17:53,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Closed,BRONX,10463,Street/Sidewalk,40.88822368304887,-73.91193785493785,2.3855555555555554,10,Monday,1,Winter
59917270,2024-01-03 16:17:12,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,In Progress,MANHATTAN,10012,Restaurant/Bar/Deli/Bakery,40.72627469594892,-74.00192660467788,,16,Wednesday,1,Winter
